name,region,distance_km,elevation_gain_m,difficulty,duration_min,days,description,route_number,url
Senda Scuol–Samnaun,Scuol → Samnaun,37.0,2300.0,Bergwanderweg | technical: medium | fitness: difficult,735,2,"Von Scuol Cluozza aus führt ein immer leicht ansteigender Weg über eine schöne Terrasse durch artenreiche Trockenwiesen nach Sent. Das typische Engadinerdorf ist berühmt für seine Giebel und die reich verzierten Häuser. Wer ein Flair für zeitgenössische Kunst besitzt kann hier den Park des Künstlers Not Vital besuchen. Weiter geht’s durch Wiesenhänge mit wunderschöner Aussicht auf das Unterengadin. Entlang der Flanke des wilden, bewaldeten Val Sinestra erreicht man den historisch interessanten Hof Zuort, wo sich eine Kapelle mit einem Glockenspiel von 14 Klängen befindet, die während des Krieges vom bekannten Holländischen Dirigenten Mengelberg erbaut wurde. Über die idyllisch gelegene Alp Griosch steigt man zum 2608 m hohen Fimberpass, mit wunderschöner Aussicht auf die umliegende Bergwelt. Von der Heidelberger Hütte steigt man über Weiden auf unterschiedlich steilem Pfad und durch gut gangbaren Schutt dem Hang des Piz Davo Sassè entlang zu einem kleinen See hinauf. Von hier steigt der Weg durch eine weite, flache Mulde bis zum höchsten Punkt der Route, der 2752 m ü. M. liegenden Fuorcla Val Gronda auf, wo die Grenze zu Österreich überschritten wird. Nach der Traversierung der vom Versilspitz abfallenden Schutthänge gelangt man auf dem Zeblasjoch bereits wieder auf Schweizer Boden, ab hier ist er zollfrei. Durch abwechslungsreiche Landschaft vorbei an Gletscherresten, Wasserfällen und Wiesen führt der Fahrweg zum Ziel nach Samnaun-Dorf.",23,https://www.schweizmobil.ch/de/wanderland/route-23
Swiss Tour Monte Rosa,Saas Fee → Zermatt,56.0,4000.0,Bergwanderweg | technical: medium | fitness: difficult,1375,3,"«Man steht am Ende der Welt und zugleich an ihrem Ursprung, an ihrem Anbeginn und in ihrer Mitte. Gewaltiger silberner Rahmen, im Halbrund geschlossen, nach Süden von Schneegipfeln in einer Anordnung von unerklärlicher Harmonie, nach Westen von einer Kette gotischer Kathedralentürme. Zuerst kann man da nur hinaufschauen, es verschlägt einem den Atem». Keiner beschreibt den alpinen Rahmen Saas-Fees so eindrücklich wie Carl Zuckmayer, der im Gletscherdorf seine letzten Jahre verbrachte. 13 Viertausender stehen da Spalier; gibt es einen fulminanteren Beginn für die «Swiss Tour Monte Rosa»? Es ist eine sensationelle Schautour welche gleich am ersten Tag auf dem Balfrin-Höhenweg beginnt. Er verbindet Saas-Fee mit Grächen und ist für konditionsstarke Berggänger eine echte Herausforderung. Im Anschluss daran führt der Weg mit spektakulären Aussichten von Grächen bis nach Zermatt. Seilgesicherte Passagen, Wasserfälle und Brücken verleihen dem Weg die richtige Würze – und das im Angesicht gewaltiger 4000er inklusive dem «Berg der Berge», dem Matterhorn. Die Swiss Tour Monte Rosa ist identisch mit den Königsetappen der klassischen Tour Monte Rosa (TMR), einer achttägigen Trekkingtour rund um das Monte-Rosa-Massiv.",27,https://www.schweizmobil.ch/de/wanderland/route-27
Freiburger Saane-Weg,"Rossens → Düdingen, Staumauer/Camping",38.0,1040.0,Wanderweg | technical: easy | fitness: difficult,635,2,"Diese zweitätige Wanderung folgt auf knapp 40 Kilometern dem Flusslauf der Saane. Sie schlängelt sich dabei durch abwechslungsreiche Landschaften: schattige Wälder, grüne Wiesen und Sandsteinfelsen wechseln sich ab. Der beschriebene Weg zwischen Rossens und Düdingen ist die Grundstrecke eines ganzen Wegnetzes. Dieses erschliesst thematische Rundwege, die den Reichtum der Region (Gastronomie, Sport, Geschichte, Architektur, Natur, Kultur, Wirtschaft) aufzeigen, welche deren Identität ausmacht. Auf diesen Rundwegen kann man den Spuren des Menschen folgen und seine Wechselwirkungen mit dem Fluss von früher bis heute nachvollziehen. Der Fluss bestimmt auch das Tempo der Hauptstrecke und bietet an jeder Wegbiegung neue Einblicke in die Region. Entlang der Strecke zeugen alte Brücken, Kapellen und Industriegebäude von traditionellem Handwerk und dem Einfluss der Saane auf das lokale Leben über die Jahrhunderte. Die Naturschutzgebiete am Weg bieten vielfältige Lebensräume für Fauna und Flora und sorgen dabei für Erholung und spannende Beobachtungen.",28,https://www.schweizmobil.ch/de/wanderland/route-28
Pragelpass-Weg,Schwyz → Glarus,48.0,1590.0,Bergwanderweg | technical: medium | fitness: difficult,810,3,"Der Pragelpass verbindet Schwyz und Glarus, zwei Kantone mit sehr unterschiedlicher Prägung. Dies ist wohl einer der Gründe, weshalb die Pragelpassstrasse trotz grosser strategischer Bedeutung, vor allem während der Zeit des Reduits, nie wirklich ausgebaut wurde. Aus Sicht der Umweltschützer und der Wanderer ist dies aber auch eine Chance. Denn die Strasse durchzieht auf der Schwyzer Seite den Bödmerenwald, der seinen Urwaldcharakter weitgehend erhalten hat und mit einer Fläche von rund 600 Hektaren im gesamteuropäischen Rahmen der ausgedehnteste subalpine Fichtenwald Westeuropas ist. Vom Wanderweg her lässt sich dieses Jagdbanngebiet trefflich überblicken. Ebenfalls am Weg liegt unter dem riesigen Karstgebiet versteckt das Höllloch, das mit 195 km vermessenen Gängen längste Höhlensystem Europas. Auf der anderen Seite des Passes führt der Weg erneut beschaulich durch Feld und Wald, vorbei an schmucken Häusern, Ställen und Gastbetrieben. Als Schlusspunkt besonderer landschaftlicher Schönheit hält diese Route nach dem Klöntalersee, der – obwohl künstlich gestaut – perfekt in die schroffe Berglandschaft hineinpasst, den Übergang über die Schwammhöchi bereit. Dort trifft man unerwartet auf liebliche Auenlandschaften.",29,https://www.schweizmobil.ch/de/wanderland/route-29
Klettgau-Rhein-Weg,Hallau → Schaffhausen,46.0,1440.0,Wanderweg | technical: easy | fitness: difficult,765,2,"Nordwestlich von Schaffhausen ist das Klettgau fast ganz von deutschem Boden umgeben. Entsprechend sind in diesem nördlichsten Zipfel der Schweiz deutsche und schweizerische Einflüsse spürbar. So wird der Hauptort Hallau am besten mit der deutschen Bahn über Koblenz erreicht. Die Wanderung verläuft grossteils in schöner Natur weitab der Zivilisation und startet im grossen Weinanbaugebiet von Hallau. Sie führt über aussichtsreiche Hügel nach Norden bis zur grünen deutschen Grenze. Es ist ein spezielles Erlebnis, unbehelligt zwischen zwei Ländern zu wandern. Den Höhenweg - auch «Täufersteig» genannt - über den dreiarmigen Randen-Hügelzug benutzten schon die Wiedertäufer der Reformationszeit auf ihrem Weg nach Schleitheim, wo sie sich im Versteckten zu verbotenen Gottesdiensten versammelten. Entdeckte man sie, so wurden diese Christen, welche die Erwachsenentaufe zelebrierten und das Evangelium radikal leben wollten, gefoltert, enteignet oder getötet. Ein Gedenkstein am Waldrand erinnert an dieses dunkle Kapitel der Reformation. Zwei hohe Aussichtstürme an der Route erlauben herrliche Weitblicke ins Nachbarland, während vom vielbesuchten Randenhaus sich der Blick auf den Schweizer Alpenkranz öffnet. Die kleinen schmucken Bauerndörfer mit der abwechslungsreichen Natur und den teilweise mediterran anmutenden Wäldern kann man auf dem guten Wegnetz auch bestens mit der ganzen Familie durchstreifen. Der Zielort Schaffhausen birgt in seiner Altstadt viele architektonische Überraschungen.",34,https://www.schweizmobil.ch/de/wanderland/route-34
Aletsch Panoramaweg,"Blatten, Belalp → Bellwald",30.0,1860.0,Bergwanderweg | technical: medium | fitness: difficult,660,3,"Sie sind beiden die längsten Gletscher der Alpen: der Grosse Aletschgletscher mit rund 23 und der Fieschergletscher mit 14 Kilometern Länge. In tausenden von Jahren haben sie die grandiose Hochgebirgslandschaft um Jungfrau, Bietschhorn und Finsteraarhorn geformt. Seit 2001 gehört das Gebiet zum UNESCO-Weltnaturerbe. Das Aletschbord beim Hotel Belalp und die Burghütte am Fusse des Fieschergletschers sind zwei klassische Aussichtspunkte auf die unteren Teile der gewaltigen Eisriesen. Sie gewähren Einblick in die atemberaubende, unbekannte Welt des ewigen Eises. Der Aletsch-Panoramaweg führt auf drei Tagesetappen von angenehmer Länge von der Belalp nach Bellwald. Es ist eine sensationelle Schautour, in deren Verlauf zuerst der Aletsch- und danach der Fieschergletscher im Fokus sind. Die Folgen des Klimawandels bleiben auch für Wanderer nicht ohne Konsequenzen: Einst führte die Route über den Alteschgletscher, wegen instabiler Moränenhänge ist das nicht mehr möglich. Heute sorgt eine 124 Meter lange Hängebrücke über die 50 Meter tiefe Massaschlucht für eine sichere Wanderwegverbindung von der Belalp zur Riederalp. Dort befindet sich in der Villa Cassel das Pro-Natura-Zentrum Aletsch, das Eingangstor zum Weltnaturerbe. Im geschützten Aletschwald stehen mehrere hundert Jahre alte Arven und man entdeckt eine vielfältige Tier- und Pflanzenwelt. Mitten hinein ins eisige Herz des Weltnaturerbes schaut man von den spektakulären Aussichtspunkten Hohfluh und Moosfluh. Elegant windet sich der Eisstrom an majestätischen Drei- und Viertausendern vorbei, während der Panoramaweg zum Märjelensee führt. Auf alten Alpwegen geht es allmählich hinunter. Je tiefer man kommt, umso mehr offenbart sich der Fieschergletscher. Der Blick schweift im Vordergrund auf das Felsmassiv Burg und im Hintergrund auf die Gommer Bergwelt. Die 2016 erbaute Hängebrücke Aspi-Titter hat eine Länge von 160 Metern und bildet einen weiteren Höhepunkt dieser einmaligen Wanderung.",39,https://www.schweizmobil.ch/de/wanderland/route-39
Appenzeller Weg,Rankweil (A) → St. Peterzell,52.0,1560.0,Wanderweg | technical: easy | fitness: difficult,850,3,"Als europäischer Kulturweg führt der Appenzellerweg Jakobspilger in drei Tagesetappen von Österreich in die Schweiz. Dabei verbindet die Route den bedeutendsten Vorarlberger Marienwallfahrtsort Rankweil mit dem reizvollen Klosterdorf St. Peterzell im Neckertal. Alten Pilgerrouten folgend durchzieht die Route mit wechselnder Aussicht das Appenzellerland von Osten nach Westen. Zu entdecken sind stille Kapellen, grosse und kleine Flussläufe, naturnahe Alpen, typische Bauernhäuser und gastfreundliche Wirtshäuser. Am Weg liegen der Innerrhoder Hauptort Appenzell sowie die Dörfer Gonten, Urnäsch und Schönengrund mit den typischen, bemalten Bürgerhäusern und vielen kulturellen Sehenswürdigkeiten. Geradlinig verläuft der Appenzellerweg in abwechslungsreichem Auf und Ab zwischen 400 und 1100 Metern über Meer auf angenehmen Feld- und Waldwegen. Fast immer im Blick – und immer wieder anders: das Alpsteinmassiv. In Vorarlberg knüpft der Appenzellerweg an den von Innsbruck herführenden Arlberg- und Walgauweg an.",44,https://www.schweizmobil.ch/de/wanderland/route-44
Zürich-Zugerland-Panoramaweg,Zürich (Triemli) → Zug,34.0,1080.0,Wanderweg | technical: easy | fitness: difficult,565,2,"Nirgends sind Natur und Kultur so nahe beieinander wie in den urbanen Gebieten. Zwischen Zürich und Zug ist das nicht anders. Vom Zürcher Triemli, das mit dem Tram erreicht wird, führt der Weg über eine Bergschulter auf den Üetliberg. Der Aussichtsturm auf dem Gipfel des Zürcher Hausbergs bietet einen prächtigen Blick über die Stadt und den See. Stimmt das Wetter, sind in der Ferne die Glarner, Bündner und Berner Alpen zu sehen; ja sogar einige Höhenzüge in Deutschland (Schwarzwald) und Frankreich (Vogesen). Der erste Teil auf dem Albiskamm ist ein Genuss: Auf der breiten Kiespiste trifft man auf zahlreiche Jogger und Spaziergänger. Nach dem Albispass wird die Natur dann wilder. Über Bürglen, den höchsten Punkt der Bergkette, wird das Albishorn erreicht. Hier wartet erneut eine Aussichtsterrasse mit eindrücklicher Sicht über den Zürichsee im Osten. Dazwischen: der Sihlwald, ein eigentliches Urwaldreservat und der grösste zusammenhängende Laubmischwald im Mittelland. Der Weg windet sich bergab Richtung Ebertswil und über die Kantongrenze, wo es 1529 fast zum Religionskrieg gekommen wäre. Damals marschierten Zürcher Truppen gegen die katholischen Orte der lnnerschweiz. Dank neutraler Glarner Vermittlung wurde der Erste Kappelerkrieg aber nicht blutig mit Waffen beendet, sondern friedlich mit Löffeln. Genauer: bei einem Versöhnungsessen, der «Kappeler Milchsuppe». Südwestlich von Ebertswil erinnert der Milchsuppenstein an die Ereignisse. Durch den Deinikerwald geht es an den Littibach und dann zur Lorze, längster Fluss im Kanton Zug. Dem Wasserlauf der alten Lorze folgend führt der lauschige Weg via Baar bis an den Zugersee.",47,https://www.schweizmobil.ch/de/wanderland/route-47
Furka-Höhenweg,Oberwald → Andermatt,34.0,2080.0,Bergwanderweg | technical: medium | fitness: difficult,720,2,"«Wir wünschten vielmehr das Wallis bis an sein oberes Ende zu sehen, dahin wir morgen abend kommen werden; und wenn das Glück gut ist, so sitzen wir übermorgen um diese Zeit in Realp in dem Urserntal...» schrieb Johann Wolfgang von Goethe im Jahre 1779 in seinen «Briefen aus der Schweiz». Als er damals den Furkapass überquerte, zu Fuss und im Winter, war das Reisen beschwerlich, das Wandern noch viel mehr. Zwischen Oberwald und Realp stand kein einziges Gasthaus, und auch mit den Wegen war das so eine Sache: «Zuerst hatten wir noch einen betretenen Fusspfad, der von einer benachbarten Alpe herunterging, bald aber verlor sich dieser und wir mussten im Schnee den Berg hinaufsteigen.» Heute ist das anders: Die Matterhorn-Gotthard-Bahn hält in Oberwald, ehe sie im Tunnel verschwindet, die historische Dampfbahn schnauft die Furka-Bergstrecke hinauf, einkehren kann man auch, und vor allem eines ist wichtig: die Wanderwege sind bestens unterhalten und markiert. So auch der Furka-Höhenweg, eine echte Highlight-Route, welche an zwei Tagen mit packenden Aussichten von Oberwald nach Andermatt, vom Wallis nach Uri führt. Die perfekte Wochenendtour also: Am Samstag, mit sensationellem Panorama auf Rhonegletscher, Lauteraar- und Finsteraarhorn, zum Furkapass wandern und am Sonntag auf dem Urschner Höhenweg die frische Bergluft hoch über dem Urserental einatmen.",51,https://www.schweizmobil.ch/de/wanderland/route-51
Mittelbünden-Panoramaweg,Lenzerheide → Davos,41.0,2600.0,Bergwanderweg | technical: medium | fitness: difficult,860,2,"Startort dieser zweitägigen Wanderung ist die Lenzerheide mit dem funkelnden Heidsee und den satt-grünen Alpwiesen. Im Zentrum der Tour steht Arosa – diese aus einer Walsersiedlung hervorgegangene Tourismusdestination am Ende eines Tales, das sich im Halbrund hinauswindet bis nach Chur. Interessant ist es, Arosa von oben, vom Parpaner Rothorn her zu entdecken. Eine eigentliche Mondlandschaft ist es, die man im Abstieg durchstreift. Oben dominiert das Rostrot eisenhaltiger Felsen (Arosa kennt sogar eine Geschichte des Erzabbaus), unten dann vermischt sich – spätestens beim Älplisee – kalkgrau mit mattengrün. Ganz anders der Charakter der zweiten Etappe: Ursprünglich erhaltene Walser Alpen sind umgeben von Weiden, die im Frühsommer bei jedem Sonnenstrahl alpenrosenrot aufleuchten. Nach der Alp Medergen und vor der Schlüsselstelle der Tour – einer längeren Eisentreppe – fällt der Blick hinunter ins Sapün, jener Verbindung zwischen dem Schanfigg und Davos, die nicht nur für den Handel mit Vieh und allerhand Gütern, sondern auch für den freien Personenverkehr zwischen den zwei Talschaften von grosser Bedeutung war.",54,https://www.schweizmobil.ch/de/wanderland/route-54
